id_hh,id_ind,ind_sex,ind_position,ind_age,ind_marital_status,n_ind_household,n_child_15,n_child_5
1013000201,101300020101,0,1,44,2,6,3,0
1013000201,101300020102,0,5,28,2,6,3,0
1013000201,101300020103,1,5,17,3,6,3,0
1013000201,101300020104,1,3,11,3,6,3,0
1013000201,101300020105,1,3,9,NA,6,3,0
1013000201,101300020106,1,5,6,NA,6,3,0
1013000204,101300020401,1,1,34,1,5,3,2
1013000204,101300020402,0,2,32,1,5,3,2
1013000204,101300020403,0,3,6,NA,5,3,2
1013000204,101300020404,0,3,2,NA,5,3,2
1013000204,101300020405,0,3,0,NA,5,3,2
1013000206,101300020601,1,1,29,1,2,0,0
1013000206,101300020602,1,5,NA,NA,2,0,0
1013000210,101300021001,1,1,38,2,1,0,0
1013000213,101300021301,1,1,31,1,1,0,0
101300021302,1013000213020,0,2,28,1,4,2,1
101300021302,10130002130201,1,1,35,1,4,2,1
101300021302,10130002130204,1,3,0,NA,4,2,1
101300021302,1013000213030,1,3,5,NA,4,2,1
1021000102,102100010201,1,1,39,1,6,2,1
1021000102,102100010202,0,2,37,1,6,2,1
1021000102,102100010203,0,3,10,3,6,2,1
1021000102,102100010204,0,3,2,NA,6,2,1
1021000102,102100010205,0,5,19,3,6,2,1
1021000102,102100010206,0,5,19,3,6,2,1
1021000108,102100010801,1,1,70,1,6,0,0
1021000108,102100010802,0,2,59,1,6,0,0
1021000108,102100010803,0,3,25,3,6,0,0
1021000108,102100010804,1,3,23,3,6,0,0
1021000108,102100010805,1,3,20,3,6,0,0
1021000108,102100010806,0,3,17,3,6,0,0
1021000109,102100010901,0,1,39,2,6,2,1
1021000109,102100010902,0,3,22,2,6,2,1
1021000109,102100010903,0,3,16,3,6,2,1
1021000109,102100010904,1,3,12,3,6,2,1
1021000109,102100010905,1,3,19,3,6,2,1
1021000109,102100010906,0,4,1,NA,6,2,1
1021000110,102100011001,1,1,53,1,8,0,0
1021000110,102100011002,0,2,44,1,8,0,0
1021000110,102100011003,1,3,25,3,8,0,0
1021000110,102100011004,1,3,23,3,8,0,0
1021000110,102100011005,1,3,21,3,8,0,0
1021000110,102100011006,0,3,19,3,8,0,0
1021000110,102100011007,0,3,NA,NA,8,0,0
1021000110,102100011008,0,5,NA,NA,8,0,0
1021000111,102100011101,1,1,47,2,10,2,0
1021000111,102100011102,0,3,17,3,10,2,0
1021000111,102100011103,1,3,15,3,10,2,0
1021000111,102100011104,1,3,13,3,10,2,0
1021000111,102100011105,0,3,5,NA,10,2,0
1021000111,102100011106,1,5,25,3,10,2,0
1021000111,102100011107,0,5,20,3,10,2,0
1021000111,102100011108,1,5,18,3,10,2,0
1021000111,102100011109,1,5,15,3,10,2,0
1021000111,102100011110,1,5,16,3,10,2,0
1021000113,102100011301,1,1,47,1,9,4,1
1021000113,102100011302,0,2,43,1,9,4,1
1021000113,102100011303,1,3,20,3,9,4,1
1021000113,102100011304,1,3,14,3,9,4,1
1021000113,102100011305,0,3,12,3,9,4,1
1021000113,102100011306,1,3,10,3,9,4,1
1021000113,102100011307,1,3,4,NA,9,4,1
1021000113,102100011308,0,5,17,3,9,4,1
1021000113,102100011309,0,5,32,3,9,4,1
1021000201,102100020101,1,1,41,1,5,2,0
1021000201,102100020102,0,2,38,1,5,2,0
1021000201,102100020103,1,3,14,3,5,2,0
1021000201,102100020104,0,3,9,NA,5,2,0
1021000201,102100020105,0,5,16,3,5,2,0
1021000202,102100020201,1,1,43,2,3,1,0
1021000202,102100020202,0,3,20,3,3,1,0
1021000202,102100020203,0,3,14,3,3,1,0
1021000203,102100020301,0,1,58,2,11,5,2
1021000203,102100020302,1,3,37,3,11,5,2
1021000203,102100020303,0,3,27,2,11,5,2
1021000203,102100020304,1,3,20,3,11,5,2
102100020304,1021000203040,0,2,24,1,4,2,1
102100020304,10210002030401,1,1,27,1,4,2,1
102100020304,10210002030403,1,5,6,NA,4,2,1
102100020304,10210002030404,1,3,3,NA,4,2,1
1021000203,102100020305,0,3,17,3,11,5,2
1021000203,102100020306,1,4,12,3,11,5,2
1021000203,102100020307,1,4,14,3,11,5,2
1021000203,102100020308,0,4,4,NA,11,5,2
1021000203,102100020309,1,4,7,NA,11,5,2
1021000203,102100020310,1,4,2,NA,11,5,2
1021000203,102100020311,1,2,NA,NA,11,5,2
1021000207,102100020701,1,1,41,1,4,1,0
1021000207,102100020702,0,2,38,1,4,1,0
1021000207,102100020703,1,3,13,3,4,1,0
1021000207,102100020704,0,3,17,3,4,1,0
1021000209,102100020901,1,1,59,1,1,0,0
1021000210,102100021001,1,1,35,2,1,0,0
1021000212,102100021201,0,1,48,1,5,1,1
1021000212,102100021202,0,3,17,3,5,1,1
1021000212,102100021203,1,3,15,3,5,1,1
1021000212,102100021204,1,3,4,NA,5,1,1
1021000212,102100021205,0,3,NA,NA,5,1,1
1021000213,102100021301,1,1,50,1,12,3,1
1021000213,102100021302,0,2,42,1,12,3,1
1021000213,102100021303,1,3,25,3,12,3,1
1021000213,102100021304,1,3,22,3,12,3,1
1021000213,102100021305,0,3,21,3,12,3,1
1021000213,102100021306,0,5,17,3,12,3,1
1021000213,102100021307,0,5,20,3,12,3,1
1021000213,102100021308,0,5,25,2,12,3,1
1021000213,102100021309,0,5,5,NA,12,3,1
1021000213,102100021310,0,5,3,NA,12,3,1
1021000213,102100021311,0,5,14,3,12,3,1
1021000213,102100021312,1,5,NA,NA,12,3,1
1021000303,102100030301,1,1,23,3,1,0,0
1021000310,102100031001,0,1,30,1,1,0,0
1021000312,102100031201,0,1,30,1,4,3,2
