id_hh,id_ind,ind_read,ind_write,ind_literacy,ind_any_schooling,ind_school,ind_education,ind_education_years
1013000201,101300020101,1,1,1,1,2,1,NA
1013000201,101300020102,1,1,1,1,2,3,NA
1013000201,101300020103,2,2,2,1,2,1,NA
1013000201,101300020104,1,1,1,1,1,NA,3
1013000201,101300020105,2,2,2,1,1,NA,0
1013000201,101300020106,2,2,2,1,1,NA,NA
1013000204,101300020401,1,1,1,1,2,1,NA
1013000204,101300020402,1,1,1,1,2,1,NA
1013000204,101300020403,2,2,2,2,2,NA,NA
1013000206,101300020601,1,1,1,1,2,1,NA
1013000210,101300021001,1,1,1,1,2,1,NA
1013000213,101300021301,2,2,2,1,2,1,NA
101300021302,10130002130201,1,1,1,1,2,1,NA
1021000102,102100010201,1,1,1,1,2,3,NA
1021000102,102100010202,1,1,1,1,2,3,NA
1021000102,102100010203,1,1,1,1,1,NA,5
1021000102,102100010205,1,1,1,1,2,2,NA
1021000102,102100010206,1,1,1,1,2,3,NA
1021000108,102100010801,1,1,1,1,2,2,NA
1021000108,102100010802,1,1,1,1,2,1,NA
1021000108,102100010803,1,1,1,1,2,5,NA
1021000108,102100010804,1,1,1,1,2,3,NA
1021000108,102100010805,1,1,1,1,1,NA,13
1021000108,102100010806,1,1,1,1,1,NA,11
1021000109,102100010901,1,1,1,1,2,1,NA
1021000109,102100010902,1,1,1,1,2,1,NA
1021000109,102100010903,1,1,1,1,1,NA,8
1021000109,102100010904,1,1,1,1,1,NA,5
1021000109,102100010905,1,1,1,1,1,NA,11
1021000110,102100011001,1,1,1,1,2,5,NA
1021000110,102100011002,1,1,1,1,2,1,NA
1021000110,102100011003,1,1,1,1,2,5,NA
1021000110,102100011004,1,1,1,1,2,5,NA
1021000110,102100011005,1,1,1,1,1,NA,13
1021000110,102100011006,1,1,1,1,1,NA,13
1021000111,102100011101,1,1,1,1,1,NA,15
1021000111,102100011102,1,1,1,1,1,NA,10
1021000111,102100011103,1,1,1,1,1,NA,8
1021000111,102100011104,1,1,1,1,1,NA,4
1021000111,102100011105,1,1,1,1,1,NA,0
1021000111,102100011106,1,1,1,1,2,4,NA
1021000111,102100011107,1,1,1,1,2,4,NA
1021000111,102100011108,1,1,1,1,1,NA,11
1021000111,102100011109,1,1,1,1,1,NA,8
1021000111,102100011110,1,1,1,1,1,NA,8
1021000113,102100011301,1,1,1,1,2,4,NA
1021000113,102100011302,1,1,1,1,2,4,NA
1021000113,102100011303,1,1,1,1,1,NA,13
1021000113,102100011304,1,1,1,1,1,NA,8
1021000113,102100011305,1,1,1,1,1,NA,6
1021000113,102100011306,1,1,1,1,1,NA,3
1021000113,102100011308,1,1,1,1,1,NA,10
1021000113,102100011309,1,1,1,1,2,1,NA
1021000201,102100020101,1,1,1,1,2,1,NA
1021000201,102100020102,1,1,1,1,2,1,NA
1021000201,102100020103,1,1,1,1,1,NA,7
1021000201,102100020104,1,1,1,1,1,NA,4
1021000201,102100020105,1,1,1,1,2,1,NA
1021000202,102100020201,1,1,1,1,2,1,NA
1021000202,102100020202,1,1,1,1,1,NA,8
1021000202,102100020203,1,1,1,1,1,NA,6
1021000203,102100020301,1,1,1,1,2,1,NA
1021000203,102100020302,1,1,1,1,2,1,NA
1021000203,102100020303,1,1,1,1,2,1,NA
1021000203,102100020304,1,1,1,1,2,1,NA
102100020304,10210002030401,1,1,1,1,2,0,NA
102100020304,10210002030403,2,1,2,2,2,NA,NA
1021000203,102100020305,1,1,1,1,1,NA,11
1021000203,102100020306,1,1,1,1,1,NA,6
1021000203,102100020307,1,1,1,1,1,NA,6
1021000203,102100020309,2,2,2,1,1,NA,0
1021000207,102100020701,1,1,1,1,2,1,NA
1021000207,102100020702,1,1,1,2,2,NA,NA
1021000207,102100020703,1,1,1,1,1,NA,5
1021000207,102100020704,1,1,1,1,1,NA,12
1021000209,102100020901,2,2,2,1,2,1,NA
1021000210,102100021001,1,1,1,1,2,1,NA
1021000212,102100021201,1,1,1,1,2,1,NA
1021000212,102100021202,1,1,1,1,2,1,NA
1021000212,102100021203,1,1,1,1,2,1,NA
1021000213,102100021301,1,1,1,1,2,3,NA
1021000213,102100021302,1,1,1,1,2,2,NA
1021000213,102100021303,1,1,1,1,1,NA,NA
1021000213,102100021304,1,1,1,1,1,NA,NA
1021000213,102100021305,1,1,1,1,1,NA,15
1021000213,102100021306,1,1,1,1,1,NA,9
1021000213,102100021307,1,1,1,1,2,1,NA
1021000213,102100021308,1,1,1,1,2,2,NA
1021000213,102100021309,2,2,2,2,2,NA,NA
1021000213,102100021311,1,1,1,1,1,NA,4
1021000303,102100030301,1,1,1,1,2,5,NA
1021000310,102100031001,1,1,1,1,2,3,NA
1021000312,102100031201,1,1,1,1,2,1,NA
1021000312,102100031202,1,1,1,1,1,NA,3
1021000313,102100031301,1,1,1,1,2,4,NA
1021000401,102100040101,1,1,1,1,2,1,NA
1021000402,102100040201,1,1,1,1,2,1,NA
1021000402,102100040202,1,1,1,1,2,1,NA
1021000402,102100040203,2,2,2,1,2,1,NA
1021000405,102100040501,1,1,1,1,2,3,NA
1021000405,102100040502,1,1,1,1,2,2,NA
102100040502,10210004050202,1,1,1,1,1,NA,0
102100040502,10210004050205,1,1,1,1,1,NA,8
102100040504,10210004050401,2,2,2,1,2,1,NA
1021000406,102100040601,1,2,2,1,2,1,NA
1021000406,102100040602,2,2,2,1,2,1,NA
1021000406,102100040603,2,2,2,1,1,NA,3
1021000406,102100040604,2,2,2,1,1,NA,2
102100040606,10210004060601,1,1,1,1,2,1,NA
1021000408,102100040801,1,1,1,2,2,NA,NA
1021000408,102100040802,1,1,1,1,2,1,NA
1021000408,102100040803,1,1,1,1,2,1,NA
1021000408,102100040804,1,1,1,1,2,1,NA
1021000408,102100040805,1,1,1,1,1,NA,4
1021000408,102100040806,2,1,2,1,1,NA,4
1021000409,102100040901,1,1,1,1,2,2,NA
1021000409,102100040902,1,1,1,1,1,NA,6
1021000501,102100050101,1,1,1,1,2,3,NA
1021000503,102100050301,1,1,1,1,2,1,NA
1021000504,102100050401,1,2,2,1,2,1,NA
1021000504,102100050402,1,1,1,1,1,NA,10
1021000504,102100050403,1,1,1,1,2,1,NA
1021000504,102100050404,1,1,1,1,1,NA,4
1021000506,102100050601,1,1,1,1,2,3,NA
1021000506,102100050602,2,2,2,1,2,1,NA
1021000506,102100050603,1,1,1,1,1,NA,8
1021000506,102100050604,1,1,1,1,1,NA,5
1021000506,102100050605,2,2,2,2,2,NA,NA
1021000604,102100060401,1,1,1,1,2,3,NA
1021000604,102100060402,1,1,1,1,2,2,NA
1021000604,102100060403,1,1,1,1,1,NA,8
1021000604,102100060404,1,1,1,1,1,NA,8
1021000604,102100060405,1,1,1,1,1,NA,4
1021000604,102100060406,1,1,1,1,1,NA,3
1021000604,102100060407,1,1,1,1,1,NA,1
1021000607,102100060701,1,1,1,1,2,2,NA
1021000607,102100060702,1,1,1,1,1,NA,15
1021000607,102100060703,1,1,1,1,2,5,NA
1021000607,102100060704,1,1,1,1,1,NA,15
1021000607,102100060705,1,1,1,1,1,NA,NA
1021000607,102100060706,1,1,1,1,1,NA,13
1021000607,102100060707,1,1,1,1,1,NA,13
1021000607,102100060708,1,1,1,1,1,NA,13
1021000607,102100060709,1,1,1,1,1,NA,13
1021000607,102100060710,1,1,1,1,1,NA,5
1021000608,102100060801,1,1,1,1,2,2,NA
1021000608,102100060802,1,1,1,1,2,2,NA
1021000610,102100061001,1,1,1,1,2,2,NA
1021000610,102100061002,1,1,1,1,2,1,NA
1021000610,102100061003,1,1,1,1,1,NA,12
1021000610,102100061004,1,1,1,1,1,NA,9
1021000610,102100061005,1,1,1,1,1,NA,6
1021000610,102100061006,1,1,1,1,1,NA,7
1021000610,102100061007,1,1,1,1,1,NA,3
1021000612,102100061201,1,1,1,1,2,2,NA
1021000612,102100061202,1,1,1,1,2,2,NA
1021000612,102100061203,1,1,1,1,2,5,NA
1021000612,102100061204,1,1,1,1,1,NA,15
1021000612,102100061205,1,1,1,1,1,NA,13
1021000612,102100061206,1,1,1,1,1,NA,12
1021000612,102100061207,1,1,1,1,1,NA,12
1021000612,102100061208,1,1,1,1,1,NA,12
1021000701,102100070101,1,1,1,1,1,NA,15
1021000701,102100070102,1,1,1,1,2,5,NA
1021000701,102100070104,2,2,2,2,2,NA,NA
1021000701,102100070105,2,2,2,1,2,1,NA
1021000702,102100070201,1,1,1,1,2,1,NA
1021000702,102100070202,2,2,2,1,2,1,NA
1021000702,102100070203,2,2,2,1,1,NA,1
1021000703,102100070301,1,1,1,1,2,3,NA
1021000703,102100070302,1,1,1,1,1,NA,NA
1021000703,102100070303,1,1,1,1,1,NA,12
1021000705,102100070501,1,1,1,1,2,2,NA
1021000705,102100070502,1,1,1,1,2,1,NA
1021000709,102100070901,1,1,1,1,2,1,NA
1021000709,102100070902,1,1,1,1,2,1,NA
1021000709,102100070903,1,1,1,1,1,NA,8
1021000709,102100070904,1,1,1,1,1,NA,4
1021000709,102100070905,1,1,1,1,1,NA,3
1021000709,102100070906,1,1,1,1,1,NA,4
1021000709,102100070907,1,1,1,1,1,NA,1
1021000709,102100070908,1,1,1,1,1,NA,0
1021000710,102100071001,1,1,1,1,2,4,NA
1021000710,102100071002,1,1,1,1,2,5,NA
1021000710,102100071003,1,1,1,1,2,4,NA
1021000710,102100071004,1,1,1,1,2,5,NA
1021000710,102100071005,1,1,1,1,2,4,NA
1021000710,102100071006,1,1,1,1,1,NA,NA
1021000710,102100071007,1,1,1,1,1,NA,10
1021000710,102100071008,1,1,1,1,2,1,NA
1021000710,102100071009,1,1,1,1,2,1,NA
1021000710,102100071010,1,1,1,1,1,NA,6
1021000710,102100071011,1,1,1,1,1,NA,6
1021000710,102100071012,2,2,2,1,2,1,NA
1021000710,102100071013,1,1,1,1,2,1,NA
1021000711,102100071101,1,1,1,1,2,3,NA
1021000711,102100071102,1,1,1,1,2,1,NA
1021000711,102100071103,1,1,1,1,1,NA,7
1021000711,102100071104,1,1,1,1,1,NA,4
1021000711,102100071105,1,1,1,1,1,NA,0
1021000802,102100080201,1,1,1,1,2,4,NA
1021000802,102100080202,1,1,1,1,2,5,NA
1021000803,102100080301,1,1,1,1,2,1,NA
1021000805,102100080501,1,1,1,1,2,4,NA
1021000805,102100080502,1,1,1,1,2,1,NA
1021000807,102100080701,1,1,1,1,2,3,NA
1021000807,102100080702,1,1,1,1,1,NA,15
1021000808,102100080801,1,1,1,1,2,5,NA
1021000808,102100080802,1,1,1,1,2,3,NA
1021000808,102100080803,1,1,1,1,1,NA,11
102100080803,10210008080301,1,1,1,1,2,2,NA
102100080803,10210008080303,1,1,1,1,1,NA,9
102100080803,10210008080304,1,1,1,1,1,NA,7
1021000809,102100080901,1,1,1,1,2,5,NA
1021000809,102100080902,1,1,1,1,2,3,NA
1021000810,102100081001,2,2,2,2,2,NA,NA
1021000810,102100081002,1,1,1,1,2,2,NA
1021000811,102100081101,1,1,1,1,2,1,NA
1021000811,102100081102,2,2,2,2,2,NA,NA
1021000811,102100081103,1,1,1,1,1,NA,3
1021000811,102100081104,1,1,1,1,1,NA,1
1021000904,102100090401,1,1,1,1,2,2,NA
1021000904,102100090402,1,1,1,1,2,2,NA
1021000904,102100090403,1,1,1,1,1,NA,NA
1021000904,102100090404,1,1,1,1,1,NA,5
1021000904,102100090406,1,1,1,1,2,1,NA
1021000906,102100090601,1,1,1,1,2,1,NA
1021000906,102100090602,1,1,1,1,2,2,NA
1021000909,102100090901,1,1,1,1,2,2,NA
1021000909,102100090902,1,1,1,1,2,5,NA
1021001003,102100100301,1,1,1,1,2,2,NA
1021001003,102100100302,1,1,1,1,1,NA,7
1021001003,102100100303,1,1,1,1,1,NA,6
1021001003,102100100304,1,1,1,1,1,NA,5
1021001003,102100100305,1,1,1,1,1,NA,2
1021001003,102100100306,1,1,1,1,1,NA,1
1021001003,102100100307,1,1,1,2,2,NA,NA
1021001003,102100100308,1,1,1,1,1,NA,0
1021001004,102100100401,1,1,1,1,2,0,NA
1021001004,102100100402,2,2,2,1,2,1,NA
1021001004,102100100403,1,1,1,1,1,NA,1
1021001004,102100100404,2,2,2,1,1,NA,0
1021001005,102100100501,1,1,1,1,2,4,NA
1021001005,102100100502,2,2,2,1,2,1,NA
1021001005,102100100503,2,2,2,1,2,1,NA
1021001005,102100100504,2,2,2,1,1,NA,2
1021001005,102100100505,2,2,2,2,2,NA,NA
1021001007,102100100701,1,1,1,1,2,5,NA
1021001007,102100100702,1,1,1,1,2,1,NA
1021001007,102100100703,1,1,1,1,1,NA,2
1021001007,102100100704,1,1,1,1,1,NA,3
1021001007,102100100705,1,1,1,1,1,NA,0
1021001008,102100100801,1,1,1,1,2,1,NA
1021001008,102100100802,1,1,1,1,1,NA,5
1021001008,102100100803,1,1,1,1,1,NA,4
1021001009,102100100901,1,1,1,1,2,5,NA
1021001009,102100100902,1,1,1,1,1,NA,11
1021001011,102100101101,1,1,1,1,2,2,NA
1021001011,102100101102,1,1,1,1,1,NA,12
1021001011,102100101103,1,1,1,1,1,NA,6
1021001102,102100110201,1,1,1,1,2,3,NA
102100110201,10210011020102,1,1,1,1,2,1,NA
102100110201,10210011020105,2,2,2,2,2,NA,NA
1021001105,102100110501,1,1,1,1,2,1,NA
1021001107,102100110701,1,1,1,1,2,4,NA
1021001107,102100110702,1,1,1,1,2,2,NA
1021001107,102100110703,1,1,1,1,2,3,NA
1021001107,102100110704,1,1,1,1,2,2,NA
1021001107,102100110705,1,1,1,1,2,3,NA
1021001107,102100110706,1,1,1,1,2,3,NA
1021001107,102100110707,1,1,1,1,2,2,NA
1021001107,102100110708,1,1,1,1,1,NA,7
1021001107,102100110709,2,2,2,1,1,NA,0
1021001109,102100110901,1,1,1,1,1,NA,NA
102100110901,10210011090102,1,1,1,1,2,3,NA
102100110901,10210011090105,1,1,1,1,1,NA,3
102100110901,10210011090106,2,2,2,1,2,1,NA
102100110901,10210011090107,2,2,2,1,2,2,NA
102100110901,10210011090108,2,2,2,1,2,1,NA
1021001109,102100110902,1,1,1,1,2,4,NA
1021001109,102100110903,1,1,1,1,1,NA,13
102100110903,10210011090301,1,1,1,1,2,3,NA
1021001109,102100110904,1,1,1,1,1,NA,11
102100110904,10210011090402,1,1,1,1,2,2,NA
1021001109,102100110905,1,1,1,1,1,NA,7
1021001109,102100110906,1,1,1,1,1,NA,5
1021001109,102100110907,1,1,1,1,1,NA,2
1021001109,102100110908,2,2,2,1,1,NA,1
1021001109,102100110909,1,1,1,1,2,4,NA
1021001109,102100110910,1,1,1,1,1,NA,5
1021001109,102100110911,2,2,2,2,2,NA,NA
1021001109,102100110912,1,2,2,1,2,1,NA
1021001110,102100111001,1,1,1,1,2,1,NA
1021001202,102100120201,1,1,1,1,2,1,NA
1021001202,102100120202,1,1,1,1,1,NA,12
1021001202,102100120203,1,1,1,1,1,NA,15
1021001205,102100120501,1,2,2,1,2,1,NA
1021001205,102100120502,1,1,1,1,2,1,NA
1021001205,102100120503,1,1,1,1,1,NA,4
1021001205,102100120504,2,2,2,1,1,NA,2
1021001205,102100120505,2,2,2,2,2,NA,NA
1021001205,102100120506,2,2,2,2,2,NA,NA
1021001205,102100120507,2,2,2,2,2,NA,NA
1021001205,102100120508,1,1,1,1,2,2,NA
1021001205,102100120509,1,1,1,1,2,2,NA
1021001205,102100120511,1,1,1,1,1,NA,5
1021001205,102100120512,2,2,2,1,1,NA,1
1021001206,102100120601,1,1,1,1,2,3,NA
1021001206,102100120602,1,1,1,1,1,NA,4
1021001206,102100120603,1,1,1,1,1,NA,1
1021001208,102100120801,1,1,1,1,2,3,NA
1021001208,102100120802,1,1,1,1,2,2,NA
1021001208,102100120803,2,2,2,1,2,1,NA
1021001208,102100120804,2,2,2,2,2,NA,NA
1021001208,102100120805,2,2,2,2,2,NA,NA
1021001210,102100121001,1,1,1,1,2,3,NA
1021001210,102100121002,1,1,1,1,2,1,NA
1021001210,102100121003,1,1,1,1,1,NA,5
1021001210,102100121005,1,1,1,1,1,NA,5
1021001211,102100121101,1,1,1,1,2,2,NA
1021001211,102100121102,1,1,1,1,2,3,NA
1021001301,102100130101,1,1,1,1,2,4,NA
1021001301,102100130102,1,1,1,1,1,NA,15
1021001301,102100130103,1,1,1,1,2,1,NA
1021001301,102100130104,1,1,1,1,2,1,NA
1021001302,102100130201,1,1,1,1,2,3,NA
1021001302,102100130202,1,1,1,1,2,2,NA
1021001302,102100130203,1,1,1,1,2,3,NA
