id_hh,wgt09,comm,urban,regurb,id_ind,ind_sex,ind_position,ind_age,ind_marital_status,n_ind_household,n_child_15,n_child_5,ind_read,ind_write,ind_literacy,ind_any_schooling,ind_education,ind_education_years
1013000201,3205.63134765625,1010002,0,10,101300020101,0,1,44,2,6,3,0,1,1,1,1,1,NA
1013000201,3205.63134765625,1010002,0,10,101300020102,0,5,28,2,6,3,0,1,1,1,1,3,NA
1013000201,3205.63134765625,1010002,0,10,101300020103,1,5,17,3,6,3,0,2,2,2,1,1,NA
1013000201,3205.63134765625,1010002,0,10,101300020104,1,3,11,3,6,3,0,1,1,1,1,NA,3
1013000201,3205.63134765625,1010002,0,10,101300020105,1,3,9,NA,6,3,0,2,2,2,1,NA,0
1013000201,3205.63134765625,1010002,0,10,101300020106,1,5,6,NA,6,3,0,2,2,2,1,NA,NA
1013000204,3205.63134765625,1010002,0,10,101300020401,1,1,34,1,5,3,2,1,1,1,1,1,NA
1013000204,3205.63134765625,1010002,0,10,101300020402,0,2,32,1,5,3,2,1,1,1,1,1,NA
1013000204,3205.63134765625,1010002,0,10,101300020403,0,3,6,NA,5,3,2,2,2,2,2,NA,NA
1013000204,3205.63134765625,1010002,0,10,101300020404,0,3,2,NA,5,3,2,NA,NA,NA,NA,NA,NA
1013000204,3205.63134765625,1010002,0,10,101300020405,0,3,0,NA,5,3,2,NA,NA,NA,NA,NA,NA
1013000206,2091.03662109375,NA,1,1,101300020601,1,1,29,1,2,0,0,1,1,1,1,1,NA
1013000206,2091.03662109375,NA,1,1,101300020602,1,5,NA,NA,2,0,0,NA,NA,NA,NA,NA,NA
1021000108,1273.73571777344,1020001,1,1,102100010801,1,1,70,1,6,0,0,1,1,1,1,2,NA
1021000108,1273.73571777344,1020001,1,1,102100010802,0,2,59,1,6,0,0,1,1,1,1,1,NA
1021000108,1273.73571777344,1020001,1,1,102100010803,0,3,25,3,6,0,0,1,1,1,1,5,NA
1021000108,1273.73571777344,1020001,1,1,102100010804,1,3,23,3,6,0,0,1,1,1,1,3,NA
1021000108,1273.73571777344,1020001,1,1,102100010805,1,3,20,3,6,0,0,1,1,1,1,NA,13
1021000108,1273.73571777344,1020001,1,1,102100010806,0,3,17,3,6,0,0,1,1,1,1,NA,11
1021000111,1206.75598144531,1020001,1,1,102100011101,1,1,47,2,10,2,0,1,1,1,1,NA,15
1021000111,1206.75598144531,1020001,1,1,102100011102,0,3,17,3,10,2,0,1,1,1,1,NA,10
1021000111,1206.75598144531,1020001,1,1,102100011103,1,3,15,3,10,2,0,1,1,1,1,NA,8
1021000111,1206.75598144531,1020001,1,1,102100011104,1,3,13,3,10,2,0,1,1,1,1,NA,4
1021000111,1206.75598144531,1020001,1,1,102100011105,0,3,5,NA,10,2,0,1,1,1,1,NA,0
1021000111,1206.75598144531,1020001,1,1,102100011106,1,5,25,3,10,2,0,1,1,1,1,4,NA
1021000111,1206.75598144531,1020001,1,1,102100011107,0,5,20,3,10,2,0,1,1,1,1,4,NA
1021000111,1206.75598144531,1020001,1,1,102100011108,1,5,18,3,10,2,0,1,1,1,1,NA,11
1021000111,1206.75598144531,1020001,1,1,102100011109,1,5,15,3,10,2,0,1,1,1,1,NA,8
1021000111,1206.75598144531,1020001,1,1,102100011110,1,5,16,3,10,2,0,1,1,1,1,NA,8
1021000113,690.195068359375,1020001,1,1,102100011301,1,1,47,1,9,4,1,1,1,1,1,4,NA
1021000113,690.195068359375,1020001,1,1,102100011302,0,2,43,1,9,4,1,1,1,1,1,4,NA
1021000113,690.195068359375,1020001,1,1,102100011303,1,3,20,3,9,4,1,1,1,1,1,NA,13
1021000113,690.195068359375,1020001,1,1,102100011304,1,3,14,3,9,4,1,1,1,1,1,NA,8
1021000113,690.195068359375,1020001,1,1,102100011305,0,3,12,3,9,4,1,1,1,1,1,NA,6
1021000113,690.195068359375,1020001,1,1,102100011306,1,3,10,3,9,4,1,1,1,1,1,NA,3
1021000113,690.195068359375,1020001,1,1,102100011307,1,3,4,NA,9,4,1,NA,NA,NA,NA,NA,NA
1021000113,690.195068359375,1020001,1,1,102100011308,0,5,17,3,9,4,1,1,1,1,1,NA,10
1021000113,690.195068359375,1020001,1,1,102100011309,0,5,32,3,9,4,1,1,1,1,1,1,NA
1021000201,3785.56713867188,1020002,1,1,102100020101,1,1,41,1,5,2,0,1,1,1,1,1,NA
1021000201,3785.56713867188,1020002,1,1,102100020102,0,2,38,1,5,2,0,1,1,1,1,1,NA
1021000201,3785.56713867188,1020002,1,1,102100020103,1,3,14,3,5,2,0,1,1,1,1,NA,7
1021000201,3785.56713867188,1020002,1,1,102100020104,0,3,9,NA,5,2,0,1,1,1,1,NA,4
1021000201,3785.56713867188,1020002,1,1,102100020105,0,5,16,3,5,2,0,1,1,1,1,1,NA
1021000203,6282.59423828125,1020002,1,1,102100020301,0,1,58,2,11,5,2,1,1,1,1,1,NA
1021000203,6282.59423828125,1020002,1,1,102100020302,1,3,37,3,11,5,2,1,1,1,1,1,NA
1021000203,6282.59423828125,1020002,1,1,102100020303,0,3,27,2,11,5,2,1,1,1,1,1,NA
1021000203,6282.59423828125,1020002,1,1,102100020304,1,3,20,3,11,5,2,1,1,1,1,1,NA
1021000203,6282.59423828125,1020002,1,1,102100020305,0,3,17,3,11,5,2,1,1,1,1,NA,11
1021000203,6282.59423828125,1020002,1,1,102100020306,1,4,12,3,11,5,2,1,1,1,1,NA,6
1021000203,6282.59423828125,1020002,1,1,102100020307,1,4,14,3,11,5,2,1,1,1,1,NA,6
1021000203,6282.59423828125,1020002,1,1,102100020308,0,4,4,NA,11,5,2,NA,NA,NA,NA,NA,NA
1021000203,6282.59423828125,1020002,1,1,102100020309,1,4,7,NA,11,5,2,2,2,2,1,NA,0
1021000203,6282.59423828125,1020002,1,1,102100020310,1,4,2,NA,11,5,2,NA,NA,NA,NA,NA,NA
1021000203,6282.59423828125,1020002,1,1,102100020311,1,2,NA,NA,11,5,2,NA,NA,NA,NA,NA,NA
1021000207,2269.552734375,1020002,1,1,102100020701,1,1,41,1,4,1,0,1,1,1,1,1,NA
1021000207,2269.552734375,1020002,1,1,102100020702,0,2,38,1,4,1,0,1,1,1,2,NA,NA
1021000207,2269.552734375,1020002,1,1,102100020703,1,3,13,3,4,1,0,1,1,1,1,NA,5
1021000207,2269.552734375,1020002,1,1,102100020704,0,3,17,3,4,1,0,1,1,1,1,NA,12
1021000212,7004.5390625,1020002,1,1,102100021201,0,1,48,1,5,1,1,1,1,1,1,1,NA
1021000212,7004.5390625,1020002,1,1,102100021202,0,3,17,3,5,1,1,1,1,1,1,1,NA
1021000212,7004.5390625,1020002,1,1,102100021203,1,3,15,3,5,1,1,1,1,1,1,1,NA
1021000212,7004.5390625,1020002,1,1,102100021204,1,3,4,NA,5,1,1,NA,NA,NA,NA,NA,NA
1021000212,7004.5390625,1020002,1,1,102100021205,0,3,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA
1021000213,3968.14770507813,1020002,1,1,102100021301,1,1,50,1,12,3,1,1,1,1,1,3,NA
1021000213,3968.14770507813,1020002,1,1,102100021302,0,2,42,1,12,3,1,1,1,1,1,2,NA
1021000213,3968.14770507813,1020002,1,1,102100021303,1,3,25,3,12,3,1,1,1,1,1,NA,NA
1021000213,3968.14770507813,1020002,1,1,102100021304,1,3,22,3,12,3,1,1,1,1,1,NA,NA
1021000213,3968.14770507813,1020002,1,1,102100021305,0,3,21,3,12,3,1,1,1,1,1,NA,15
1021000213,3968.14770507813,1020002,1,1,102100021306,0,5,17,3,12,3,1,1,1,1,1,NA,9
1021000213,3968.14770507813,1020002,1,1,102100021307,0,5,20,3,12,3,1,1,1,1,1,1,NA
1021000213,3968.14770507813,1020002,1,1,102100021308,0,5,25,2,12,3,1,1,1,1,1,2,NA
1021000213,3968.14770507813,1020002,1,1,102100021309,0,5,5,NA,12,3,1,2,2,2,2,NA,NA
1021000213,3968.14770507813,1020002,1,1,102100021310,0,5,3,NA,12,3,1,NA,NA,NA,NA,NA,NA
1021000213,3968.14770507813,1020002,1,1,102100021311,0,5,14,3,12,3,1,1,1,1,1,NA,4
1021000213,3968.14770507813,1020002,1,1,102100021312,1,5,NA,NA,12,3,1,NA,NA,NA,NA,NA,NA
1021000312,1834.88891601563,1020003,1,1,102100031201,0,1,30,1,4,3,2,1,1,1,1,1,NA
1021000312,1834.88891601563,1020003,1,1,102100031202,0,5,9,NA,4,3,2,1,1,1,1,NA,3
1021000312,1834.88891601563,1020003,1,1,102100031203,1,3,4,NA,4,3,2,NA,NA,NA,NA,NA,NA
1021000312,1834.88891601563,1020003,1,1,102100031204,0,3,0,NA,4,3,2,NA,NA,NA,NA,NA,NA
1021000313,2812.9482421875,1020003,1,1,102100031301,1,1,36,3,2,0,0,1,1,1,1,4,NA
1021000313,2812.9482421875,1020003,1,1,102100031302,0,5,NA,NA,2,0,0,NA,NA,NA,NA,NA,NA
1021000401,2891.51538085938,1020004,1,1,102100040101,1,1,32,1,1,0,0,1,1,1,1,1,NA
