"year","HHID","region","urban","regurb","stratum","wgt09wosplits","wgt09","h1aq1","h1aq1_05","h1aq2","h1aq2b","h1aq3","h1aq3b","h1aq4","h1aq4b","comm","h1bq1","h1bq1s","h1bq3","h1bq2a","h1bq2b","h1bq2c","h19q1","h19q2","interview_result","hh_status","visit","HHID_parent"
2009,"1013000201",1,0,10,3,5697.794921875,3205.63134765625,101,101,2,"KYAMUSWA",4,"MAZINGA",2,"BUTULUME","1010002",20,32,16,15,12,2009,2,1,1,1,1,
2009,"1013000204",1,0,10,3,5697.794921875,3205.63134765625,101,101,2,"KYAMUSWA",4,"MAZINGA",2,"BUTULUME","1010002",9,9,16,15,12,2009,1,1,1,1,1,
2009,"1013000210",1,0,10,3,5697.794921875,5953.33544921875,101,101,2,"KYAMUSWA",4,"MAZINGA",2,"BUTULUME","1010002",16,9,16,23,6,2010,2,1,1,1,2,
2009,"1013000213",1,0,10,3,5697.794921875,8077.8681640625,101,101,2,"KYAMUSWA",4,"MAZINGA",2,"BUTULUME","1010002",16,32,16,23,6,2010,2,2,1,1,2,
2009,"1021000102",0,1,1,1,1768.71350097656,787.168151855469,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",4,"KAGUGUBE","1020001",27,,4,30,3,2010,2,2,1,1,2,
2009,"1021000108",0,1,1,1,1768.71350097656,1273.73571777344,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",4,"KAGUGUBE","1020001",27,,4,30,3,2010,1,2,1,1,2,
2009,"1021000109",0,1,1,1,1768.71350097656,1206.75598144531,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",4,"KAGUGUBE","1020001",7,,4,30,3,2010,2,2,1,1,2,
2009,"1021000110",0,1,1,1,1768.71350097656,1206.75598144531,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",4,"KAGUGUBE","1020001",27,,4,30,3,2010,2,2,1,1,2,
2009,"1021000111",0,1,1,1,1768.71350097656,1206.75598144531,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",4,"KAGUGUBE","1020001",7,,4,30,3,2010,2,1,1,1,2,
2009,"1021000113",0,1,1,1,1768.71350097656,690.195068359375,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",4,"KAGUGUBE","1020001",7,,4,30,3,2010,1,1,1,1,2,
2009,"1021000201",0,1,1,1,4362.01513671875,3785.56713867188,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",8,"KISENYI II","1020002",27,,4,3,11,2009,2,2,1,1,1,
2009,"1021000202",0,1,1,1,4362.01513671875,5176.85400390625,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",8,"KISENYI II","1020002",7,,4,16,4,2010,2,2,1,1,2,
2009,"1021000203",0,1,1,1,4362.01513671875,6282.59423828125,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",8,"KISENYI II","1020002",27,,4,3,11,2009,2,2,1,1,1,
2009,"1021000207",0,1,1,1,4362.01513671875,2269.552734375,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",8,"KISENYI II","1020002",27,,4,4,11,2009,2,2,1,1,1,
2009,"1021000209",0,1,1,1,4362.01513671875,4188.396484375,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",8,"KISENYI II","1020002",7,,4,5,11,2009,2,2,1,1,1,
2009,"1021000210",0,1,1,1,4362.01513671875,7004.5390625,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",8,"KISENYI II","1020002",27,,4,3,11,2009,2,2,1,1,1,
2009,"1021000212",0,1,1,1,4362.01513671875,7004.5390625,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",8,"KISENYI II","1020002",27,,4,17,4,2010,2,2,1,1,2,
2009,"1021000213",0,1,1,1,4362.01513671875,3968.14770507813,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",8,"KISENYI II","1020002",27,,4,17,4,2010,2,2,1,1,2,
2009,"1021000303",0,1,1,1,2782.93823242188,2812.9482421875,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",16,"NAKASERO II","1020003",7,7,4,14,11,2009,2,2,1,1,1,
2009,"1021000310",0,1,1,1,2782.93823242188,2812.9482421875,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",16,"NAKASERO II","1020003",27,27,4,29,11,2009,2,2,1,1,1,
2009,"1021000312",0,1,1,1,2782.93823242188,1834.88891601563,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",16,"NAKASERO II","1020003",27,27,4,15,11,2009,2,2,1,1,1,
2009,"1021000313",0,1,1,1,2782.93823242188,2812.9482421875,102,102,1,"KAMPALA CITY",1,"CENTRAL DIVISION",16,"NAKASERO II","1020003",7,7,4,14,11,2009,2,2,1,1,1,
2009,"1021000401",0,1,1,1,1816.29675292969,2891.51538085938,102,102,1,"KAMPALA CITY",2,"KAWEMPE DIVISION",2,"BWAISE II","1020004",27,27,4,5,12,2009,2,2,1,1,1,
2009,"1021000402",0,1,1,1,1816.29675292969,721.86376953125,102,102,1,"KAMPALA CITY",2,"KAWEMPE DIVISION",2,"BWAISE II","1020004",7,7,4,5,12,2009,2,2,1,1,1,
2009,"1021000405",0,1,1,1,1816.29675292969,5301.111328125,102,102,1,"KAMPALA CITY",2,"KAWEMPE DIVISION",2,"BWAISE II","1020004",4,7,4,5,12,2009,2,2,1,1,1,
2009,"1021000406",0,1,1,1,1816.29675292969,4961.34228515625,102,102,1,"KAMPALA CITY",2,"KAWEMPE DIVISION",2,"BWAISE II","1020004",7,7,4,6,12,2009,2,2,1,1,1,
2009,"1021000408",0,1,1,1,1816.29675292969,943.069213867188,102,102,1,"KAMPALA CITY",2,"KAWEMPE DIVISION",2,"BWAISE II","1020004",27,27,4,5,12,2009,1,2,1,1,1,
