"year","HHID","h15bq2","h15bq3b","h15bq3c","h15bq4","h15bq5","h15bq6","h15bq7","h15bq8","h15bq9","h15bq10","h15bq11","h15bq12","h15bq13"
2009,"1013000201",110,3,1,2.5,6250,,,,,,,2500,
2009,"1013000201",127,1,4,3,300,,,,,,,100,
2009,"1013000201",114,2,41,1,2500,,,,,,,2500,
2009,"1013000201",148,3,53,1,100,,,,,,,100,
2009,"1013000201",147,3,1,1,2600,,,,,,,2600,
2009,"1013000201",135,7,64,1,500,,,,,,,500,
2009,"1013000201",107,,64,3,6000,,,,,,,2000,
2009,"1013000201",112,1,85,3,1200,,,,,,,400,
2009,"1013000201",105,3,64,3,3000,,,,,,,1000,
2009,"1013000201",150,7,51,1,500,,,,,,,500,
2009,"1013000201",136,5,85,5,500,,,,,,,100,
2009,"1013000201",101,4,67,1,18000,,,,,,,18000,
2009,"1013000201",153,1,33,1,500,,,,,,,500,
2009,"1013000204",150,7,51,0.25,125,,,,,,,500,
2009,"1013000204",127,4,4,4,800,,,,,,,200,
2009,"1013000204",102,4,68,0.5,7500,,,,,,,15000,
2009,"1013000204",113,3,1,1.5,3000,,,,,,,2000,
2009,"1013000204",136,7,64,1,1000,,,,,,,1000,
2009,"1013000204",132,1,64,1,1000,,,,,,,1000,
2009,"1013000204",119,2,1,1,7000,,,,,,,7000,
2009,"1013000204",153,7,33,7,7000,,,,,,,1000,
2009,"1013000204",147,7,1,1,3000,,,,,,,3000,
2009,"1013000204",135,7,66,1,500,,,,,,,500,
2009,"1013000204",131,1,85,10,1000,,,,,,,100,
2009,"1013000204",124,1,85,,,,,4,1200,,,,300
2009,"1013000204",114,2,42,1,1500,,,,,,,1500,
2009,"1013000204",123,2,1,,,,,2,3000,,,,1500
2009,"1013000206",151,1,87,1,1500,,,,,,,1500,
2009,"1013000206",147,7,1,1.5,4200,,,,,,,2800,
2009,"1013000206",149,4,54,0.5,50,,,,,,,100,
2009,"1013000206",148,3,54,0.5,100,,,,,,,200,
2009,"1013000206",131,1,70,1,1000,,,,,,,1000,
2009,"1013000206",125,7,3,7,7000,,,,,,,1000,
2009,"1013000206",124,3,85,18,3600,,,,,,,200,
2009,"1013000206",157,7,,,38000,,,,,,,,
2009,"1013000206",114,2,42,2,3000,,,,,,,1500,
2009,"1013000210",158,5,26,,,5,4000,,,,,800,
2009,"1013000210",157,7,,,,,21000,,,,,,
2009,"1013000210",161,,,,,,7000,,,,,,
2009,"1013000213",157,7,,,2300,,,,,,,,
2009,"1021000102",129,7,31,1,3500,,,,,,,3500,
2009,"1021000102",155,7,54,7,28000,,,,,,,4000,
2009,"1021000102",135,7,64,1,500,,,,,,,500,
2009,"1021000102",147,7,1,0.5,1200,,,,,,,2400,
2009,"1021000102",136,7,64,1,1000,,,,,,,1000,
2009,"1021000102",148,7,54,1,2000,,,,,,,2000,
2009,"1021000102",124,2,85,16,3200,,,,,,,200,
2009,"1021000102",151,7,26,4,4000,9,9000,,,,,1000,
2009,"1021000102",157,6,,,,,30000,,,,,,
2009,"1021000102",130,1,64,1,2000,,,,,,,2000,
