"year","HHID","h15cq2","h15cq3","h15cq4","h15cq5","h15cq6","h15cq7","h15cq8","h15cq9","h15cq10"
2009,"1013000201",302,,,,,15000,,,
2009,"1013000201",308,3,4,10000,,,,,2500
2009,"1013000201",451,85,10,1000,,,,,100
2009,"1013000201",452,47,5,8500,,,,,1700
2009,"1013000201",457,84,2,2400,,,,,1200
2009,"1013000201",463,,,7000,,,,,
2009,"1013000201",465,,,2000,,,,,
2009,"1013000201",503,,,13000,,,,,
2009,"1013000204",302,,,,,10000,,,
2009,"1013000204",305,,,,,,,9000,
2009,"1013000204",308,3,2,5000,,,,,2500
2009,"1013000204",309,10,0.5,6000,,,,,12000
2009,"1013000204",310,66,,,,,2,2000,1000
2009,"1013000204",451,85,4,600,,,,,150
2009,"1013000204",452,47,2,3400,,,,,1700
2009,"1013000204",455,,,1500,,,,,
2009,"1013000204",457,84,2,2400,,,,,1200
2009,"1013000204",467,,,10000,,,,,
2009,"1013000204",604,,,2000,,,,,
2009,"1013000206",301,,,75000,,,,,
2009,"1013000206",305,,,1500,,,,,
2009,"1013000206",306,,,5000,,,,,
2009,"1013000206",308,3,4,8000,,,,,2000
2009,"1013000206",451,85,1,100,,,,,100
2009,"1013000206",452,47,4,4000,,,,,1000
2009,"1013000206",453,46,1,2000,,,,,2000
2009,"1013000206",454,,,1000,,,,,
2009,"1013000206",455,,,2000,,,,,
2009,"1013000206",456,,,15000,,,,,
2009,"1013000206",457,84,2,2000,,,,,1000
2009,"1013000206",461,,,30000,,,,,
2009,"1013000206",462,,,150000,,,,,
2009,"1013000206",464,,,45000,,,,,
2009,"1013000206",465,,,30000,,,,,
2009,"1013000206",467,,,30000,,,,,
2009,"1013000206",602,,,20000,,,,,
2009,"1013000206",604,,,2000,,,,,
2009,"1013000210",302,,,,,20000,,,
2009,"1013000210",305,,,,,,,6000,
2009,"1013000210",308,3,1,2600,,,,,2600
2009,"1013000210",451,85,1,100,,,,,100
2009,"1013000210",452,47,1,1000,,,,,1000
2009,"1013000210",454,,,1000,,,,,
2009,"1013000210",457,84,2,2000,,,,,1000
2009,"1013000210",467,,,20000,,,,,
2009,"1013000210",604,,,1500,,,,,
2009,"1013000213",302,,,,,2000,,,
2009,"1013000213",308,4,30,3000,,,,,100
2009,"1013000213",451,85,5,500,,,,,100
