"year","HHID","PID","h4q1","h4q2","h4q3","h4q4","h4q5","h4q6","h4q7","h4q8","h4q9","h4q10","h4q11","h4q12","h4q13","h4q14","h4q15a","h4q15b","h4q15c","h4q15d","h4q15e","h4q15f","h4q15g","h4q16","h4q17","h4q18"
2009,"1013000201","101300020101",1,1,,4,2,,13,9,,,,,,,,,,,,,,,,
2009,"1013000201","101300020102",2,1,,4,2,,34,13,,,,,,,,,,,,,,,,
2009,"1013000201","101300020103",3,1,,1,2,,16,1,,,,,,,,,,,,,,,,
2009,"1013000201","101300020104",4,2,1,4,3,,,,12,13,2,1,1.6,30,150000,120000,90000,0,0,0,460000,2,,2
2009,"1013000201","101300020105",5,2,1,1,3,,,,1,10,4,1,1.6,15,135000,120000,15000,0,0,0,270000,2,,2
2009,"1013000201","101300020106",6,2,2,1,3,,,,,1,1,1,1.6,22,6000,45000,600,0,0,0,51600,2,,3
2009,"1013000204","101300020401",1,1,,4,2,,15,3,,,,,,,,,,,,,,,,
2009,"1013000204","101300020402",2,2,1,4,2,,16,3,,,,,,,,,,,,,,,,
2009,"1013000204","101300020403",3,2,1,1,1,10,,,,,,,,,,,,,,,,,,
2009,"1013000206","101300020601",1,1,,4,2,,14,96,,,,,,,,,,,,,,,,
2009,"1013000210","101300021001",1,1,,4,2,,17,3,,,,,,,,,,,,,,,,
2009,"1013000213","101300021301",1,1,,1,2,,15,3,,,,,,,,,,,,,,,,
2009,"101300021302","10130002130201",1,2,2,4,2,,17,2,,,,,,,,,,,,,,,,
2009,"1021000102","102100010201",1,1,,4,2,,36,10,,,,,,,,,,,,,,,,
2009,"1021000102","102100010202",2,2,1,4,2,,34,10,,,,,,,,,,,,,,,,
2009,"1021000102","102100010203",3,2,1,4,3,,,,14,15,2,3,,,1500000,60000,100000,0,0,150000,1810000,2,,
2009,"1021000102","102100010205",5,2,1,4,2,,31,12,,,,,,,,,,,,,,,,
2009,"1021000102","102100010206",6,2,1,4,2,,34,3,,,,,,,,,,,,,,,,
2009,"1021000108","102100010801",1,2,2,4,2,,22,3,,,,,,,,,,,,,,,,
2009,"1021000108","102100010802",2,1,,4,2,,17,3,,,,,,,,,,,,,,,,
2009,"1021000108","102100010803",3,2,2,4,2,,61,1,,,,,,,,,,,,,,,,
2009,"1021000108","102100010804",4,2,2,4,2,,36,1,,,,,,,,,,,,,,,,
2009,"1021000108","102100010805",5,2,2,4,3,,,,35,50,4,2,,,0,0,90000,0,0,0,1450000,2,,
2009,"1021000108","102100010806",6,2,2,4,3,,,,33,34,2,2,,,0,0,0,0,0,0,650000,2,,
2009,"1021000109","102100010901",1,2,5,4,2,,17,3,,,,,,,,,,,,,,,,
2009,"1021000109","102100010902",2,2,5,4,2,,16,10,,,,,,,,,,,,,,,,
2009,"1021000109","102100010903",3,2,5,4,3,,,,30,31,1,1,2,30,1170000,0,150000,0,0,0,1320000,2,,2
2009,"1021000109","102100010904",4,1,,4,3,,,,14,15,1,1,1.5,20,150000,20000,90000,0,0,0,260000,2,,2
2009,"1021000109","102100010905",5,1,,4,3,,,,33,34,2,2,,,1200000,100000,180000,6000,0,0,1486000,2,,2
2009,"1021000110","102100011001",1,2,2,4,2,,61,1,,,,,,,,,,,,,,,,
2009,"1021000110","102100011002",2,1,,4,2,,16,3,,,,,,,,,,,,,,,,
2009,"1021000110","102100011003",3,2,2,4,2,,61,1,,,,,,,,,,,,,,,,
2009,"1021000110","102100011004",4,2,1,4,2,,61,1,,,,,,,,,,,,,,,,
2009,"1021000110","102100011005",5,2,2,4,3,,,,35,60,1,3,1,15,0,0,0,0,0,0,5000000,2,,3
2009,"1021000110","102100011006",6,2,2,4,3,,,,35,,1,3,1,15,0,0,0,0,0,0,4500000,2,,3
2009,"1021000111","102100011101",1,1,,4,3,,,,61,60,2,1,0,0,0,0,0,0,0,0,6175000,2,,3
2009,"1021000111","102100011102",2,2,1,4,3,,,,32,33,2,3,,,1140000,15000,180000,30000,0,190000,1555000,2,,1
2009,"1021000111","102100011103",3,2,1,4,3,,,,30,31,2,3,,,1200000,20000,90000,30000,0,100000,1440000,1,3,3
2009,"1021000111","102100011104",4,2,1,4,3,,,,13,14,2,3,0.5,15,480000,45000,105000,0,0,25000,655000,2,,2
2009,"1021000111","102100011105",5,2,1,4,3,,,,1,10,2,1,2,5,1500000,12000,0,120000,0,0,1632000,2,,1
2009,"1021000111","102100011106",6,2,1,4,2,,51,3,,,,,,,,,,,,,,,,
2009,"1021000111","102100011107",7,2,1,4,2,,51,10,,,,,,,,,,,,,,,,
2009,"1021000111","102100011108",8,2,1,4,3,,,,33,34,2,3,0.6,15,420000,15000,155000,0,0,30000,620000,2,,3
2009,"1021000111","102100011109",9,2,1,4,3,,,,30,31,2,3,0.6,15,330000,15000,75000,0,0,25000,445000,2,,2
2009,"1021000111","102100011110",10,2,1,4,3,,,,30,31,1,1,2,25,700000,0,45000,0,0,45000,790000,1,2,1
2009,"1021000113","102100011301",1,1,,4,2,,51,3,,,,,,,,,,,,,,,,
2009,"1021000113","102100011302",2,2,1,4,2,,51,3,,,,,,,,,,,,,,,,
2009,"1021000113","102100011303",3,2,1,4,3,,,,35,60,1,2,,,60000,0,15000,25000,0,80000,180000,1,1,
2009,"1021000113","102100011304",4,2,1,4,3,,,,30,31,2,2,,,2100000,0,123000,60000,0,171000,2454000,2,,
