"HHID","PID","h4q2","h4q3","h4q4","h4q5","h4q6","h4q7","h4q8","h4q9","h4q10","h4q11","h4q12","h4q13","h4q14","h4q15a","h4q15b","h4q15c","h4q15d","h4q15e","h4q15f","h4q15g","h4q16","h4q17","h4q18","h2q1"
"1013000201","101300020101",1,,1,2,,13,3,,,,,,,,,,,,,,,,,
"1013000201","101300020103",2,"101300020101",4,2,,17,3,,,,,,,,,,,,,,,,,
"1013000201","101300020102",2,"101300020101",4,2,,34,3,,,,,,,,,,,,,,,,,
"1013000206","101300020603",2,"101300020601",4,2,,32,3,,,,,,,,,,,,,,,,,
"1013000206","101300020601",1,,4,2,,15,2,,,,,,,,,,,,,,,,,
"1021000102","102100010207",2,"102100010202",4,2,,17,10,,,,,,,,,,,,,,,,,
"1021000102","102100010201",2,,,,,,,,,,,,,,,,,,,,,,,
"1021000102","102100010202",1,,4,2,,34,10,,,,,,,,,,,,,,,,,
"1021000102","102100010203",2,"102100010202",4,3,,,,15,15,2,2,,,,,,,,,1500000,2,,,
"1021000108","102100010804",2,"102100010802",4,3,,,,50,50,1,1,2,20,500000,0,100000,0,,50000,650000,2,,3,
"1021000108","102100010801",2,"102100010802",4,2,,51,1,,,,,,,,,,,,,,,,,
"1021000108","102100010803",2,"102100010802",4,2,,61,1,,,,,,,,,,,,,,,,,
"1021000108","102100010802",1,,4,2,,22,3,,,,,,,,,,,,,,,,,
"1021000108","102100010806",2,"102100010802",4,3,,,,34,35,2,2,,,1300000,15000,70000,150000,0,90000,1625000,2,,,
"1021000108","102100010805",2,"102100010802",4,3,,,,50,50,4,2,,,900000,0,50000,40000,0,100000,1090000,1,3,,
"1021000109","102100010905",1,,4,3,,,,35,61,1,3,7,40,1110000,20000,300000,6000,0,390000,1826000,2,,,
"1021000109","102100010901",2,"102100010905",4,2,,17,3,,,,,,,,,,,,,,,,,
"1021000109","102100010903",2,"102100010905",4,3,,,,32,33,1,1,2,20,900000,20000,150000,0,,0,1070000,2,,2,
"1021000109","102100010904",2,"102100010905",4,3,,,,16,30,2,2,,,270000,17000,90000,0,0,45000,422000,2,,,
"1021000111","102100011103",2,"102100011101",4,3,,,,31,32,2,3,48,3,423000,35000,120000,30000,0,135000,743000,2,,,
"1021000111","102100011102",2,"102100011101",4,3,,,,33,34,2,2,,,1500000,60000,210000,50000,0,100000,1920000,2,,,
"1021000111","102100011108",2,"102100011101",4,3,,,,34,35,2,3,2,30,480000,0,150000,0,0,180000,810000,2,,,
"1021000111","102100011110",2,"102100011101",4,3,,,,31,32,1,1,3,35,0,0,30000,0,,75000,105000,1,6,2,
"1021000111","102100011104",2,"102100011101",4,3,,,,14,15,2,1,,,240000,20000,45000,0,,173000,478000,1,2,2,
"1021000111","102100011109",2,"102100011101",4,3,,,,31,32,2,3,3,35,300000,20000,100000,0,0,75000,495000,2,,,
"1021000111","102100011106",2,"102100011101",4,2,,51,3,,,,,,,,,,,,,,,,,
"1021000111","102100011101",1,,4,2,,61,3,,,,,,,,,,,,,,,,,
"1021000113","102100011310",2,"102100011301",1,2,,15,3,,,,,,,,,,,,,,,,,
"1021000113","102100011305",2,"102100011301",4,3,,,,16,30,1,2,,,1560000,0,180000,120000,0,360000,2220000,2,,,
"1021000113","102100011306",2,"102100011301",4,3,,,,13,14,2,3,13,1,1200000,0,120000,45000,0,180000,1545000,2,,,
"1021000113","102100011301",1,,4,2,,51,3,,,,,,,,,,,,,,,,,
"1021000113","102100011304",2,"102100011301",4,3,,,,31,32,2,2,,,1950000,15000,180000,120000,0,360000,2625000,2,,,
"1021000113","102100011303",2,"102100011301",4,3,,,,61,61,1,2,,,40000,0,30000,100000,0,150000,320000,1,1,,
"1021000113","102100011308",2,"102100011301",4,3,,,,33,34,2,2,,,320000,50000,0,45000,0,100000,485000,2,,,
"1021000113","102100011307",2,"102100011301",4,3,,,,1,1,2,1,0,10,150000,35000,15000,0,,20000,220000,2,,3,
"1021000201","102100020103",2,"102100020102",4,3,,,,16,30,2,2,,,900000,70000,90000,18000,0,60000,1138000,2,,,
"1021000201","102100020102",1,,4,2,,17,3,,,,,,,,,,,,,,,,,
"1021000201","102100020105",2,"102100020102",4,2,,14,10,,,,,,,,,,,,,,,,,
"1021000201","102100020101",2,"102100020102",4,2,,17,3,,,,,,,,,,,,,,,,,
"1021000201","102100020104",2,"102100020102",4,3,,,,13,14,1,1,0,15,67200,7000,30000,0,,12000,116200,1,1,2,
"1021000202","102100020201",1,,4,2,,15,3,,,,,,,,,,,,,,,,,
"1021000203","102100020306",2,"102100020301",4,3,,,,15,16,2,1,1,30,0,0,0,0,,0,,2,,2,
"1021000203","102100020304",2,"102100020301",4,2,,15,3,,,,,,,,,,,,,,,,,
"1021000203","102100020309",2,"102100020301",4,3,,,,1,10,2,1,0,3,90000,20000,11700,0,,15000,136700,2,,3,
"1021000203","102100020305",2,"102100020301",4,3,,,,33,34,2,2,,,1200000,50000,180000,30000,0,120000,1580000,2,,,
"1021000203","102100020301",1,,4,2,,16,3,,,,,,,,,,,,,,,,,
"1021000203","102100020307",2,"102100020301",4,3,,,,15,16,2,1,2,45,0,0,0,0,,0,,2,,2,
"1021000203","102100020302",2,"102100020301",4,2,,14,3,,,,,,,,,,,,,,,,,
"1021000203","102100020308",2,"102100020301",1,1,10,,,,,,,,,,,,,,,,,,,
"102100020304","10210002030403",2,"1021000203040",3,3,,,,1,10,2,1,0,15,0,0,0,0,,0,,2,,3,
"102100020304","1021000203040",1,,4,2,,17,3,,,,,,,,,,,,,,,,,
"102100020304","10210002030401",2,"1021000203040",4,2,,99,3,,,,,,,,,,,,,,,,,
"102100020304","10210002030406",2,"1021000203040",4,3,,,,13,14,1,1,1,25,0,0,0,0,,0,,1,1,2,
"1021000207","102100020701",2,"102100020702",4,2,,15,3,,,,,,,,,,,,,,,,,
"1021000207","102100020703",2,"102100020702",4,3,,,,13,14,4,1,,,210000,0,75000,0,,0,285000,2,,3,
"1021000207","102100020704",2,"102100020702",4,3,,,,15,16,2,1,,,254000,0,120000,0,,0,374000,2,,3,
"1021000207","102100020702",1,,1,1,1,,,,,,,,,,,,,,,,,,,
"1021000212","102100021204",2,"102100021201",1,1,10,,,,,,,,,,,,,,,,,,,
"1021000213","102100021311",2,"102100021301",4,3,,,,14,15,2,1,1,20,300000,0,60000,0,,90000,450000,2,,2,
"1021000213","102100021302",2,"102100021301",4,2,,33,3,,,,,,,,,,,,,,,,,
"1021000213","102100021309",2,"102100021301",1,1,10,,,,,,,,,,,,,,,,,,,
"1021000213","102100021301",1,,4,2,,36,3,,,,,,,,,,,,,,,,,
"1021000213","102100021306",2,"102100021301",4,3,,,,32,33,2,2,,,1200000,20000,210000,60000,0,180000,1670000,2,,,
"1021000312","102100031202",2,"102100031201",4,3,,,,12,13,2,2,,,750000,15000,45000,45000,0,120000,975000,2,,,
"1021000312","102100031203",2,"102100031201",4,1,10,,,,,,,,,,,,,,,,,,,
"1021000312","102100031201",1,,4,2,,34,3,,,,,,,,,,,,,,,,,
"1021000313","102100031301",1,,4,2,,51,3,,,,,,,,,,,,,,,,,
"1021000401","102100040101",1,,4,2,,17,3,,,,,,,,,,,,,,,,,
"1021000402","102100040203",2,"102100040201",4,2,,15,3,,,,,,,,,,,,,,,,,
"1021000402","102100040204",1,,1,1,1,,,,,,,,,,,,,,,,,,,
"1021000402","102100040201",1,,4,2,,32,3,,,,,,,,,,,,,,,,,
"1021000402","102100040202",2,"102100040201",4,2,,17,3,,,,,,,,,,,,,,,,,
"1021000405","102100040502",1,,4,2,,33,3,,,,,,,,,,,,,,,,,
"1021000405","102100040501",2,"102100040502",4,2,,99,3,,,,,,,,,,,,,,,,,
"102100040502","10210004050205",2,"1021000405020",4,3,,,,31,32,2,1,3,60,180000,0,37000,0,,95000,312000,2,,2,
"102100040502","1021000405030",2,"1021000405020",4,2,,16,3,,,,,,,,,,,,,,,,,
"102100040502","1021000405020",1,,4,2,,51,3,,,,,,,,,,,,,,,,,
"102100040502","10210004050202",2,"1021000405020",4,3,,,,10,11,2,3,0,5,315000,7000,18000,0,0,6000,346000,2,,,
"1021000503","102100050302",1,,4,2,,51,1,,,,,,,,,,,,,,,,,
"1021000503","102100050301",2,"102100050302",4,2,,14,3,,,,,,,,,,,,,,,,,
"1021000504","102100050403",2,"102100050401",4,2,,14,3,,,,,,,,,,,,,,,,,
"1021000504","102100050402",2,"102100050401",4,3,,,,32,33,4,2,,,1500000,0,30000,30000,0,0,1560000,1,6,,
"1021000504","102100050401",1,,1,2,,12,3,,,,,,,,,,,,,,,,,
"1021000504","102100050404",2,"102100050401",4,3,,,,12,13,4,2,,,750000,0,20000,30000,0,0,800000,2,,,
"1021000506","102100050602",1,,3,2,,15,3,,,,,,,,,,,,,,,,,
"1021000506","102100050603",2,"102100050602",4,3,,,,31,32,2,2,,,,,,,,,2650000,2,,,
"1021000506","102100050604",2,"102100050602",4,3,,,,15,16,2,2,,,,,,,,,840000,2,,,
"1021000506","102100050605",2,"102100050602",3,3,,,,1,10,2,3,1,20,390000,0,30000,0,0,30000,220000,2,,,
"1021000506","102100050601",2,"102100050602",4,2,,34,9,,,,,,,,,,,,,,,,,
"1021000607","102100060706",2,"102100060701",4,3,,,,61,61,2,2,,,0,0,0,0,0,0,,2,,,
"1021000607","102100060708",1,,4,2,,34,3,,,,,,,,,,,,,,,,,
"1021000607","102100060705",2,"102100060701",4,2,,61,1,,,,,,,,,,,,,,,,,
"1021000607","102100060709",2,"102100060701",4,3,,,,61,61,1,2,,,0,0,0,0,0,0,,2,,,
"1021000607","102100060712",2,,,,,,,,,,,,,,,,,,,,,,,
"1021000607","102100060707",2,"102100060701",4,3,,,,61,61,1,2,,,0,0,0,0,0,0,,2,,,
"1021000608","102100060804",,".",,,,,,,,,,,,,,,,,,,,,,
"1021000608","102100060801",1,,4,2,,31,3,,,,,,,,,,,,,,,,,
"1021000608","102100060802",1,,4,2,,34,3,,,,,,,,,,,,,,,,,
"1021000608","102100060805",,".",,,,,,,,,,,,,,,,,,,,,,
"1021000610","102100061009",2,"102100061003",4,3,,,,11,12,2,3,,,195000,20000,21600,0,0,64500,301100,2,,,
"1021000612","102100061201",2,"102100061205",4,2,,34,1,,,,,,,,,,,,,,,,,
"1021000612","102100061206",2,"102100061205",4,3,,,,35,35,1,1,5,30,500000,50000,20000,100000,,50000,720000,2,,2,
"1021000612","102100061202",2,"102100061205",4,2,,34,1,,,,,,,,,,,,,,,,,
"1021000701","102100070102",1,,4,2,,61,1,,,,,,,,,,,,,,,,,
"1021000701","102100070101",2,"102100070102",4,2,,61,1,,,,,,,,,,,,,,,,,
"1021000701","102100070104",2,"102100070102",1,1,4,,,,,,,,,,,,,,,,,,,
"1021000701","102100070105",2,"102100070102",1,2,,13,3,,,,,,,,,,,,,,,,,
"1021000702","102100070203",2,"102100070201",4,3,,,,10,11,2,1,0,15,150000,20000,8000,0,,12000,190000,2,,3,
"1021000702","102100070201",1,,4,2,,16,3,,,,,,,,,,,,,,,,,
"1021000702","102100070202",2,"102100070201",1,2,,13,3,,,,,,,,,,,,,,,,,
"1021000705","102100070501",1,,4,2,,34,3,,,,,,,,,,,,,,,,,
"1021000705","102100070502",2,"102100070501",4,2,,32,3,,,,,,,,,,,,,,,,,
"1021000709","102100070905",2,"102100070902",4,3,,,,13,14,2,1,,,300000,0,60000,0,,0,360000,2,,3,
"1021000709","102100070901",2,"102100070902",4,2,,17,3,,,,,,,,,,,,,,,,,
"1021000709","102100070907",2,"102100070902",4,3,,,,11,12,1,1,,,120000,0,21000,120000,,180000,441000,1,1,2,
"1021000709","102100070903",2,"102100070902",4,3,,,,31,32,2,3,0,0,750000,0,90000,30000,0,210000,1080000,2,,,
"1021000709","102100070908",2,"102100070902",4,3,,,,10,11,1,1,,,120000,0,21000,120000,,180000,441000,1,1,2,
"1021000709","102100070904",2,"102100070902",4,3,,,,14,15,2,1,,,300000,0,60000,0,,0,360000,2,,3,
"1021000709","102100070902",1,,4,2,,16,3,,,,,,,,,,,,,,,,,
"1021000709","102100070906",2,"102100070902",4,3,,,,14,15,1,1,,,120000,0,60000,120000,,180000,480000,1,1,2,
"1021000710","102100071011",2,"102100071001",4,3,,,,16,30,2,1,1,20,0,0,0,0,,0,200000,2,,3,
"1021000710","102100071008",2,"102100071001",4,3,,,,61,61,2,2,,,0,0,0,0,0,0,6000000,2,,,
"1021000710","102100071004",2,"102100071001",4,2,,61,1,,,,,,,,,,,,,,,,,
"1021000710","102100071014",2,"102100071001",4,3,,,,15,16,1,1,0,15,0,0,0,0,,0,90000,1,1,2,
"1021000710","102100071009",2,"102100071001",4,2,,99,1,,,,,,,,,,,,,,,,,
"1021000710","102100071007",2,"102100071001",4,3,,,,33,34,2,2,,,0,0,0,0,0,0,600000,2,,,
"1021000710","102100071006",2,"102100071001",4,3,,,,61,61,2,2,,,0,0,0,0,0,0,6000000,2,,,
"1021000710","102100071001",1,,4,2,,51,1,,,,,,,,,,,,,,,,,
"1021000711","102100071105",2,"102100071101",4,3,,,,10,11,2,1,,,510000,20000,45000,0,,15000,590000,2,,2,
"1021000711","102100071101",1,,4,2,,34,3,,,,,,,,,,,,,,,,,
"1021000711","102100071103",2,"102100071101",4,3,,,,30,31,2,2,,,1110000,15000,60000,45000,0,150000,1380000,2,,,
"1021000711","102100071102",2,"102100071101",4,2,,17,3,,,,,,,,,,,,,,,,,
"1021000711","102100071104",2,"102100071101",4,3,,,,14,15,2,2,,,1050000,20000,45000,45000,0,150000,1310000,2,,,
"1021000802","102100080202",2,"102100080201",4,2,,61,1,,,,,,,,,,,,,,,,,
"1021000802","102100080201",1,,4,2,,51,3,,,,,,,,,,,,,,,,,
"1021000805","102100080502",1,,4,2,,17,3,,,,,,,,,,,,,,,,,
"1021000805","102100080501",2,"102100080502",4,2,,51,3,,,,,,,,,,,,,,,,,
"102100080803","10210008080304",2,"10210008080301",4,3,,,,31,32,1,1,1,10,0,15000,8000,0,,75000,98000,1,1,2,
"102100080803","10210008080301",1,,4,2,,33,3,,,,,,,,,,,,,,,,,
"102100080803","1021000808030",2,"10210008080301",4,3,,,,32,33,2,1,2,30,150000,17000,13000,0,,54000,234000,2,,2,
"102100080803","10210008080303",2,"10210008080301",4,3,,,,31,32,1,1,1,10,0,15000,8000,0,,75000,98000,1,1,2,
"1021000809","102100080902",1,,4,2,,36,3,,,,,,,,,,,,,,,,,
"1021000809","102100080901",1,,4,2,,61,1,,,,,,,,,,,,,,,,,
"1021000810","102100081001",1,,1,1,1,,,,,,,,,,,,,,,,,,,
"1021000810","102100081002",2,"102100081001",4,2,,99,96,,,,,,,,,,,,,,,,,
"1021000811","102100081102",1,,1,1,1,,,,,,,,,,,,,,,,,,,
"1021000811","102100081101",2,"102100081102",4,2,,14,3,,,,,,,,,,,,,,,,,
"1021000811","102100081103",2,"102100081102",4,3,,,,13,14,2,1,1,10,600000,15000,36000,0,,13500,664500,2,,2,
"1021000811","102100081104",2,"102100081102",4,3,,,,11,12,2,1,0,10,135000,25000,16500,0,,30000,206500,2,,3,
"1021000904","102100090406",1,,4,2,,17,3,,,,,,,,,,,,,,,,,
"1021000904","102100090403",2,"102100090406",4,3,,,,30,31,2,2,,,0,40000,21000,60000,840000,20000,901000,2,,,
"1021000904","102100090402",1,,4,2,,32,3,,,,,,,,,,,,,,,,,
"1021000904","102100090401",2,"102100090402",4,2,,34,3,,,,,,,,,,,,,,,,,
"1021000904","102100090404",2,"102100090406",4,3,,,,12,13,2,1,1,30,300000,15000,18900,0,,67000,200900,2,,2,
"1021000906","102100090603",2,"10210009060102",4,3,,,,34,35,2,3,0,0,610000,50000,60000,5000,0,30000,755000,2,,,
"1021000906","102100090601",2,"10210009060102",4,2,,33,3,,,,,,,,,,,,,,,,,
"1021000906","102100090602",1,,4,2,,32,3,,,,,,,,,,,,,,,,,
"1021000909","102100090901",2,"102100090902",4,2,,34,3,,,,,,,,,,,,,,,,,
"1021000909","102100090902",1,,4,2,,61,3,,,,,,,,,,,,,,,,,
"1021001003","102100100304",2,"102100100310",4,3,,,,15,16,2,3,5,35,,0,,180000,0,,180000,2,,,
"1021001003","102100100307",2,"102100100310",1,1,1,,,,,,,,,,,,,,,,,,,
"1021001003","102100100311",1,,4,2,,32,3,,,,,,,,,,,,,,,,,
"1021001003","102100100302",2,"102100100310",4,3,,,,30,31,2,3,,,1050000,0,0,90000,0,150000,1290000,2,,,
"1021001003","102100100312",2,"102100100311",4,2,,17,3,,,,,,,,,,,,,,,,,
"1021001003","102100100310",1,,4,2,,17,3,,,,,,,,,,,,,,,,,
"1021001003","102100100306",2,"102100100310",2,3,,,,11,11,2,3,5,35,,,,180000,0,,180000,2,,,
"1021001003","102100100305",2,"102100100310",4,3,,,,12,13,2,3,5,35,,,,180000,0,,180000,2,,,
"1021001003","102100100303",2,"102100100310",4,3,,,,16,30,2,3,,,1050000,0,0,90000,0,150000,1290000,2,,,
"1021001003","102100100314",2,"102100100310",4,2,,99,3,,,,,,,,,,,,,,,,,
"1021001003","102100100301",2,"102100100310",4,2,,31,3,,,,,,,,,,,,,,,,,
"1021001003","102100100308",2,"102100100310",1,3,,,,1,10,4,1,0,1,0,0,15000,0,,0,15000,1,3,3,
"1021001004","102100100401",2,"102100100402",4,2,,99,3,,,,,,,,,,,,,,,,,
"1021001004","102100100403",2,"102100100402",4,3,,,,12,13,2,3,1,30,210000,0,0,0,0,90000,300000,2,,,
"1021001004","102100100404",2,"102100100402",1,1,96,,,,,,,,,,,,,,,,,,,
"1021001004","102100100402",1,,4,2,,15,3,,,,,,,,,,,,,,,,,
"1021001007","102100100701",2,"102100100702",4,2,,61,3,,,,,,,,,,,,,,,,,
"1021001007","102100100704",2,"102100100702",4,3,,,,14,14,2,3,10,120,450000,0,45000,0,0,3000,498000,2,,,
"1021001007","102100100705",2,"102100100702",1,3,,,,11,12,2,3,10,120,360000,0,45000,0,0,3000,408000,2,,,
"1021001007","102100100702",1,,4,2,,17,3,,,,,,,,,,,,,,,,,
